"Month","Countertrading","Grid reserve","Redispatch"
"Jul 2022",446.16,252.62,1464.08
"Aug 2022",109.16,222.97,715.09
"Sep 2022",162.79,80.96,1008.93
"Oct 2022",332.85,93.78,1596.97
"Nov 2022",763.25,94.44,2682.09
"Dec 2022",172.91,236.8,1933.13
"Jan 2023",409.08,289.55,3344.09
"Feb 2023",601.83,217.83,3165.9
"Mar 2023",576.29,224.15,2868.7
"Apr 2023",571.67,52.94,2325.72
"May 2023",720.01,35.56,2051.44
"Jun 2023",349.07,8.99,1045.47
"Jul 2023",408.65,55.34,2327.65
"Aug 2023",534.25,23.35,1478.34
"Sep 2023",359.84,15.45,1509.46
"Oct 2023",667.78,121.4,2846.05
"Nov 2023",450.53,95.29,2175.77
"Dec 2023",366.67,74.28,1929.39
"Jan 2024",631.85,210.67,2992.57
"Feb 2024",629.44,126.13,1883.11
"Mar 2024",626.41,35.59,1201.04
"Apr 2024",443.15,112.02,1262.26
"May 2024",463.71,134.81,2295.54
"Jun 2024",354.18,54.46,1169.98
"Jul 2024",300.56,65.19,874.25
"Aug 2024",282.92,88.12,1096.6
"Sep 2024",300.23,163.94,2084.12
"Oct 2024",425.86,170.61,2031.72
"Nov 2024",518.76,257.46,2394.78
"Dec 2024",762.42,368.34,3493.69
"Jan 2025",743.32,357.71,3133.27
"Feb 2025",523.33,240.15,2185.9
"Mar 2025",308.58,89.4,1453
"Apr 2025",185.13,135.25,1243.17
"May 2025",327.47,78.57,1290.37
"Jun 2025",424.21,130.22,2067.06
"Jul 2025",319.39,106.91,1436.24
"Aug 2025",186.12,69.39,1099.02
"Sep 2025",403.85,84.68,2239.49
"Oct 2025",464.35,179.62,2499
"Nov 2025",610.08,166.34,2470.61
"Dec 2025",715.53,186.45,2272.06
"Jan 2026",764.01,511.33,2993.67
"Feb 2026",396.48,157.63,1235.35
"Mar 2026",244.14,185.02,1761.59
"Apr 2026",288.96,219.7,1566.94
"May 2026",118.39,132.6,868.87
