"Month","Conventional power plant","Renewable sources"
"Jul 2022",1005.26,458.82
"Aug 2022",604.69,110.4
"Sep 2022",584.67,424.26
"Oct 2022",1010.34,586.63
"Nov 2022",1824.57,857.52
"Dec 2022",1359.15,573.98
"Jan 2023",1932.93,1411.16
"Feb 2023",1880.56,1285.34
"Mar 2023",1690.11,1178.59
"Apr 2023",1547.15,778.57
"May 2023",1419.07,632.37
"Jun 2023",618.74,426.73
"Jul 2023",1532.69,794.96
"Aug 2023",855.41,622.93
"Sep 2023",969.55,539.91
"Oct 2023",1643.19,1202.85
"Nov 2023",1398.28,777.48
"Dec 2023",1100.88,828.52
"Jan 2024",1860.41,1132.15
"Feb 2024",952.17,930.94
"Mar 2024",835.21,365.83
"Apr 2024",673.53,588.73
"May 2024",1208.98,1086.56
"Jun 2024",743.27,426.71
"Jul 2024",446.42,427.83
"Aug 2024",623.96,472.63
"Sep 2024",1125.32,958.81
"Oct 2024",1290.11,741.62
"Nov 2024",1567.73,827.05
"Dec 2024",2075.66,1418.04
"Jan 2025",2117.23,1016.05
"Feb 2025",1669.42,516.49
"Mar 2025",832.95,620.06
"Apr 2025",637.62,605.55
"May 2025",572.28,718.08
"Jun 2025",1066.3,1000.76
"Jul 2025",748.38,687.87
"Aug 2025",319.15,779.87
"Sep 2025",1282.84,956.65
"Oct 2025",1247.02,1251.98
"Nov 2025",1764.13,706.48
"Dec 2025",1644.22,627.84
"Jan 2026",1995.02,998.65
"Feb 2026",780.48,454.87
"Mar 2026",962.33,799.26
"Apr 2026",865.55,701.4
"May 2026",412.87,456
