"Month","Wind Offshore","Wind Onshore","Lignite","Solar","Hard coal","Natural gas","Nuclear","Biomass","Pumped storage","Run-of-river","Other renewables","Other conventionals","Unknown (e.g. energy exchange)"
"Jul 2022",124.16,236.13,125.7,99.56,195.48,16.75,15.15,1.41,2.9,0,0.04,0,430.75
"Aug 2022",4.33,29.02,39.4,75.29,191.49,35.72,9.54,0.6,0.28,1.14,0.02,0.01,190.15
"Sep 2022",198.72,171.79,48.07,52.01,142.63,3.29,0,1.85,0.62,0,0,0,115.68
"Oct 2022",335.94,206.61,146.11,41.11,73.01,21.22,5.19,2.93,1.65,0.02,0.03,0.09,290.25
"Nov 2022",567.76,260.83,146.78,11.1,246.51,4.59,5.24,17.77,0.97,0.05,0,0.01,644.15
"Dec 2022",372.07,196.02,113.77,4.95,305.86,42.38,27.01,0.91,4.22,0.02,0.01,0.01,191.09
"Jan 2023",746.09,643.18,353.26,10.64,147.14,23.25,0,10.79,0.89,0.38,0.09,0.2,328.38
"Feb 2023",719.07,526.76,315.79,30.07,117.12,37.51,0,9.12,0.03,0.27,0.05,0.12,441.72
"Mar 2023",698.86,416.34,287.06,53.85,55.8,50.85,0,9.26,1.08,0.25,0.04,0.14,456.28
"Apr 2023",508.64,198.84,216.75,66.2,30.19,16.8,0,4.06,2.82,0.82,0.01,0.1,525.06
"May 2023",307.08,188.38,170.2,134.92,0.38,16.68,0,1.84,0.09,0.12,0.04,0.1,700.27
"Jun 2023",186.86,100.43,92.61,137.34,7.98,9.2,1.7,1.28,0.2,0.8,0.01,0.03,258
"Jul 2023",427,243.31,158.02,120.77,14.79,13.08,6,3.73,0.1,0.12,0.03,0.14,544.24
"Aug 2023",265.63,286.84,40.51,64.54,1.02,12.45,11.77,5.78,0.14,0.1,0.03,0.1,498.15
"Sep 2023",365.47,124.13,55.6,47.58,25.68,10.62,0.31,2.04,1.15,0.69,0,0.18,389.95
"Oct 2023",675.5,492.94,144.45,28.26,42.09,35.55,3.52,6.06,2.23,0.09,0,0.18,610.46
"Nov 2023",450.66,316.35,170.06,7.23,51.62,20.43,6.99,3.2,0.53,0.04,0,0.67,477.01
"Dec 2023",377.77,442.16,118.24,5.46,26,38.84,0,3.1,5,0.03,0,2.53,376.37
"Jan 2024",524.82,591.84,313.91,11.77,49.51,166.86,3,3.51,1.36,0.21,0.01,2.47,512.82
"Feb 2024",444.2,464.94,83.68,18.12,6.28,42.23,1.8,3.53,1.32,0.15,0,0.08,478.2
"Mar 2024",145.66,139.22,96.74,78.53,7.44,57.09,1.75,2.33,0.55,0.09,0,0.62,505.84
"Apr 2024",218.51,211.51,39.92,155.85,8.48,28.77,2,2.76,1.15,0.1,0,0.92,409.26
"May 2024",522.59,295.13,53.46,264.39,4.51,18.11,9.3,4.26,0.39,0.19,0,0.03,538.46
"Jun 2024",171.21,66.46,42.74,187.09,5.59,10.5,1.8,1.67,3.42,0.27,0,0.1,415.49
"Jul 2024",119.01,96.17,16.48,211.49,0.95,4.91,33.83,2.09,0.74,0,0,0.02,282.22
"Aug 2024",168.78,91.68,40.96,211.32,25.57,7.59,2.85,1.11,2.36,0,0.03,0.52,324.51
"Sep 2024",430.97,324.27,98.08,200.77,39.83,23.02,12.83,3.13,0.36,0,0,0.16,376.37
"Oct 2024",475.11,224,112.64,41.59,46.26,30.33,6.7,1.36,0.88,0,0,7.21,484.58
"Nov 2024",560.91,258.43,139.29,6.74,137.52,85.87,8.4,2.15,1.68,0,0,15.59,491.04
"Dec 2024",775.96,630.68,210.86,8.79,95.4,72.04,0,2.45,0.55,0.15,0,21.89,783.34
"Jan 2025",585.16,418.56,367.42,10.7,112.36,85.65,0,1.64,1.65,0,0,39.3,677.48
"Feb 2025",292.94,180.55,186.11,41.27,169.89,70.15,6,1.45,2.66,0.28,0,51.65,581.92
"Mar 2025",276.45,158.4,72.01,182.35,65.77,24.87,0,1.95,1.96,0.87,0.03,15.54,286.67
"Apr 2025",120.61,122.12,125.7,357.97,39.92,15.61,6.25,4.39,1.35,0.46,0,7.9,205.95
"May 2025",192.38,161.55,31.86,357.47,11.07,12.11,1.52,3.39,11.53,3.26,0.03,2.13,313.87
"Jun 2025",261.84,265.96,90.62,455.52,9.59,19.95,5.21,8.05,19.2,9.36,0.02,0.54,509.86
"Jul 2025",104.5,151.37,127.12,410.6,48.45,42.33,28.96,15.89,0.99,5.48,0.03,1.8,278.63
"Aug 2025",61.65,222.07,16.08,473.96,5.32,8.14,13.53,4.02,1.3,18.17,0,8.06,187.84
"Sep 2025",289.56,386.79,79.95,272.23,17.36,314.84,9.75,4.59,0.57,3.47,0.01,1.3,438.59
"Oct 2025",407.84,735.83,95.88,100.9,76.89,73.56,2.8,6.77,4.44,0.65,0,24.55,464.05
"Nov 2025",411.65,266.33,84.54,25.43,65.85,136.04,4.31,2.83,1.59,0.24,0,56.02,713.34
"Dec 2025",346.46,264.25,125.28,16.13,51.78,179.42,2.24,1.51,1.27,0,0,18.03,720.83
"Jan 2026",466.59,508.52,138.57,21.13,292.72,218.94,8.25,2.39,2.26,0.02,0,76.64,652.66
"Feb 2026",136.59,259.06,52.55,57.79,123.47,75.54,7.35,1.08,0.38,0.35,0,23.65,316.2
"Mar 2026",261.12,323.68,151.96,209.82,75.32,31.39,4.1,2.71,0.18,1.92,0.01,5.44,281.51
"Apr 2026",187.44,227.11,117.51,277.02,48.47,55.27,20.42,5.39,2.2,4.44,0,11.06,284.92
"May 2026",45.81,113.42,66.27,291.34,23.56,6.96,0,4.43,0.33,0.99,0.01,6.52,192.78
